rider_id,base_price,state_price,final_price,converted,reward,theta_1,theta_2
8015.0,0.48563337290161973,0.43865709447821355,0.35,1.0,1.2031830121556708,0.4091033133255083,0.369529939206077
10820.0,0.5608067728106526,0.44167607934813047,0.5896332205274258,0.0,0.0,0.2927332057942995,0.283183362443119
2755.0,0.48563337290161973,0.45427147699146925,0.35,1.0,0.800443042583453,0.395989210022319,0.38999874128371176
1935.0,0.5840312024629889,0.5250521651270732,0.7348029820060282,1.0,1.6012753941890225,0.6185308277022914,0.5996456684504954
11253.0,0.7226705418540197,0.7190499450358004,0.8498181060070177,0.0,0.0,0.4796296367027825,0.4228071029024865
3000.0,0.6051197960710586,0.5204246916191979,0.35,0.0,0.0,0.4079048077282821,0.37206696261694955
8513.0,0.6082984267945142,0.5683936868315346,0.5768869536117006,0.0,0.0,0.35839473626877527,0.32043562527473995
5147.0,0.540774622898248,0.5074707305203178,0.35,1.0,0.5501054177382603,0.3750620218749703,0.3382165987842327
2826.0,0.6340738734523301,0.6026906695694071,1.0,1.0,6.941922936596976,0.9375065953086895,0.9848867909686353
1722.0,0.5585627784757042,0.4800360171059158,0.8872098018922098,1.0,2.686717320406562,1.0900562173885167,1.0735058417886623
1002.0,0.49885984088782775,0.45975978304762694,1.0,1.0,1.3948944061674415,1.112706794684236,1.095552485213967
3263.0,0.5573378348749161,0.4778493773953283,1.0,1.0,4.1409711765691455,1.3539413886603644,1.228190382672679
6884.0,0.5202672755308262,0.46972890157089764,1.0,1.0,0.9957901928111432,1.336465206217849,1.2132443923465464
4253.0,0.6212907571247842,0.6443911526158778,1.0,0.0,0.0,1.2825803130731313,1.04803497558932
3187.0,0.4565565502448262,0.3915339246468823,0.9335296424761903,1.0,2.9387115607442458,1.3961811306769072,1.0993029436224377
11255.0,0.4595499125374981,0.43603840755627266,1.0,1.0,5.07515763841598,1.5492763354448253,1.293186132609326
2522.0,0.6248686472793165,0.6137523830719865,1.0,0.0,0.0,1.4782208403240278,1.1641204827540488
11533.0,0.5398335348751724,0.5486489835649077,1.0,1.0,3.299376298918052,1.5251833412418263,1.294581082232881
5032.0,0.4322077401360768,0.3511624061260081,1.0,1.0,2.1264287763393703,1.5840910468069325,1.3003481762260531
613.0,0.4807402124617762,0.47170761188819443,1.0,1.0,1.890669523400123,1.59810281486536,1.3264588821021377
5749.0,0.6157973284800666,0.6029364111176302,1.0,0.0,0.0,1.538582101791214,1.2186010821424302
2021.0,0.48563337290161973,0.4241215396182843,0.8866302796032075,1.0,2.0420797362028162,1.5759827345611892,1.2327276895220831
8751.0,0.5731657406495394,0.5309497718473285,1.0,1.0,6.46753346417695,1.777654995074047,1.4137786475958665
5914.0,0.5537782554092381,0.46915941273577033,1.0,0.0,0.0,1.682949771077209,1.3963062833713842
11034.0,0.530439808607652,0.4998799997531508,1.0,0.0,0.0,1.633829525565953,1.3371861188851761
4702.0,0.48563337290161973,0.4738148006210587,1.0,0.0,0.0,1.6049258109474813,1.2775340508614224
4681.0,0.5332064231657028,0.4489249458044011,1.0,1.0,2.806968174195922,1.6782739998746043,1.2856556786895978
2651.0,0.7,0.680700834857845,1.0,0.0,0.0,1.6241690265022046,1.1720132476156404
8128.0,0.6637897279135287,0.6695039604136291,1.0,0.0,0.0,1.5994687415881017,1.0554802808910495
11400.0,0.48836858046512494,0.4482143043772639,1.0,1.0,2.292016634911068,1.6300870701911159,1.0773498839162512
4969.0,0.5234994561819813,0.4198069155844331,1.0,1.0,2.228381027933155,1.6836976318283057,1.0676456272018175
6896.0,0.6255627339996878,0.5898713356118255,1.0,1.0,1.80628797785155,1.6871038976478612,1.0719136568794128
7828.0,0.48494620496443974,0.49294520880234294,1.0,1.0,3.707623294505484,1.6984566237760619,1.1788339672963684
10311.0,0.6212907571247842,0.5758269087320339,1.0,0.0,0.0,1.6449880153360064,1.132722179485769
4907.0,0.4651220560175394,0.4406158395716629,1.0,0.0,0.0,1.621845967588784,1.1015877600685027
149.0,0.5982156301813238,0.5507923625448896,1.0,1.0,3.376010784171938,1.6757961824717473,1.1417083653499793
5931.0,0.6071299635923677,0.5612175831561566,1.0,0.0,0.0,1.6285149773757723,1.1033712516979417
9188.0,0.5921589685394663,0.5265328036134256,1.0,0.0,0.0,1.572133627871567,1.086541072282833
11421.0,0.6333734135215163,0.546569973436626,1.0,1.0,3.766461365448781,1.6708602025111425,1.0920424077515096
4693.0,0.5112871169690555,0.4544721786725533,1.0,0.0,0.0,1.6305513941301364,1.0797811243424886
6193.0,0.4729634777372236,0.4063650129332627,1.0,1.0,2.870975636433881,1.686362135364187,1.0810126709489825
461.0,0.6015743259786258,0.5267775503012416,1.0,0.0,0.0,1.6275327133749349,1.0712295641660063
10806.0,0.45005385913752866,0.42844283326073723,1.0,0.0,0.0,1.6137235730738433,1.0438668945559733
6114.0,0.5831159533836717,0.555590951487518,1.0,1.0,1.1627895810922502,1.6085552840549138,1.033382059717092
3312.0,0.5768544708656854,0.5729151304440112,1.0,1.0,4.478751712429855,1.6183515426173594,1.1533867278712189
